0,0.145704794,0.148094549,0.146889952
5,0.146702557,0.14829932,0.147496617
10,0.148048452,0.149659864,0.148849797
15,0.144683715,0.146258503,0.145466847
20,0.141318977,0.142857143,0.142083897
25,0.143241426,0.144897959,0.144064931
30,0.141223941,0.142857143,0.142035847
35,0.139878951,0.141496599,0.140683125
40,0.141896436,0.143537415,0.142712208
45,0.140456989,0.142176871,0.141311697
50,0.142568931,0.144217687,0.143388569
55,0.139206456,0.140816327,0.140006764
60,0.137861466,0.139455782,0.138654041
65,0.140456989,0.142176871,0.141311697
70,0.137861466,0.139455782,0.138654041
75,0.140551446,0.142176871,0.141359486
80,0.140551446,0.142176871,0.141359486
85,0.141896436,0.143537415,0.142712208
90,0.141318977,0.142857143,0.142083897
95,0.140551446,0.142176871,0.141359486
100,0.139112903,0.140816327,0.139959432
