method,topics,window,ngram,p,r,f,mrr,mp,mr,mf,edge_omega,node_phi,topn
Ours,60,2,2,0.14516129032258066,0.1476121562952243,0.14637646496053575,0.3656078431372551,0.14662745098039243,0.16237653849418565,0.15410065079681295,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,70,2,2,0.14570479354532512,0.14809454896285576,0.14688995215311007,0.3663529411764708,0.14709803921568657,0.1628583312112725,0.1545775049444404,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,80,2,2,0.14475557664926436,0.14712976362759286,0.145933014354067,0.3649803921568629,0.14615686274509831,0.16229810712163661,0.15380515461699149,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,90,2,2,0.14658444022770398,0.14905933429811866,0.14781152834250177,0.3665490196078434,0.1480392156862748,0.16402359731771501,0.15562203305938568,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,0,2,2,0.14095870906502136,0.14327062228654125,0.14210526315789476,0.3450196078431372,0.1423921568627453,0.15777336389101104,0.14968867525835378,1 3 1,[[ 0.34]] [[ 0.33]] [[ 0.33]],5
Ours,0,2,2,0.14095870906502136,0.14327062228654125,0.14210526315789476,0.3440392156862745,0.1423921568627453,0.15777336389101104,0.14968867525835378,1 3 1,[[ 0.5]] [[ 0.5]],5
Ours,0,2,2,0.14075829383886257,0.14327062228654125,0.1420033468802295,0.35474509803921583,0.14207843137254936,0.15887327052032946,0.1500072265455377,1 3 1,[[1]] [[0]],5
Ours,0,2,2,0.14570479354532512,0.14809454896285576,0.14688995215311007,0.36494117647058827,0.14709803921568657,0.16297597827009597,0.15463047847205505,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,0,2,2,0.14391392064559516,0.145578231292517,0.14474129184984783,0.36083333333333334,0.14561111111111114,0.15709956709956713,0.15113733453777836,1 3 1,[[ 0.95]] [[ 0.05]],5
CTR,,10,2,0.13266666666666665,0.13537414965986394,0.13400673400673402,0.3104444444444445,0.13544444444444448,0.14926238576238582,0.14201809560629006,1 3 1,,5,
sTPR,10,2,2,0.12813238770685578,0.13072841292812348,0.12941738299904487,0.2954901960784313,0.12952941176470614,0.1443438587556236,0.1365359611833743,,,5,
TextRank,,2,2,0.13049645390070921,0.13314037626628075,0.13180515759312322,0.2945882352941176,0.13188235294117676,0.1465007215007217,0.1388077195269836,,,5,
sTPR,10,2,2,0.1276595744680851,0.13024602026049203,0.12893982808022922,0.29890196078431364,0.12905882352941206,0.14419446566505403,0.1362074590431752,,,5,
Ours,10,2,2,0.12710154673839946,0.12857142857142856,0.1278322624281366,0.31805555555555554,0.12894444444444444,0.1411035353535354,0.13475025429866042,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,20,2,2,0.13324360699865412,0.1346938775510204,0.13396481732070367,0.31872222222222213,0.13494444444444445,0.1488217893217894,0.1415437870440998,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,30,2,2,0.12508406186953597,0.12653061224489795,0.12580317889753126,0.3070555555555556,0.12694444444444447,0.1392860750360751,0.13282919966353102,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.12777404169468728,0.1292517006802721,0.12850862360500506,0.31855555555555554,0.12961111111111112,0.14177020202020207,0.1354182658655939,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,20,2,2,0.13391655450874831,0.13537414965986394,0.13464140730717186,0.3202222222222222,0.13561111111111113,0.14923845598845606,0.14209881407351405,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,30,2,2,0.12508406186953597,0.12653061224489795,0.12580317889753126,0.30733333333333335,0.12694444444444447,0.1392860750360751,0.13282919966353102,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.14593140551445863,0.14761904761904762,0.14677037538045315,0.3621111111111111,0.14761111111111117,0.159738455988456,0.15343552423479256,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.14593140551445863,0.14761904761904762,0.14677037538045315,0.3632222222222222,0.14761111111111117,0.159738455988456,0.15343552423479256,1 3 1,[[ 0.95]] [[ 0.05]],5
